name,all_names,sources,n_raw_points,lon,lat,label
Bhadrappa layout,Bhadrappa layout,flood_prone_locations,1,77.57601953237192,13.0484082909097,1
Sampangiram Nagar,Sampangiram Nagar,flood_prone_locations,1,77.5746801037001,12.993628518441197,1
KEB Compound Maththikere,KEB Compound Maththikere,flood_prone_locations,1,77.5586167901292,13.036299366522398,1
Minerva Mill,Minerva Mill,flood_prone_locations,1,77.5644641478985,12.979452406103496,1
Binny Mill Tank Area,Binny Mill Tank Area,flood_prone_locations,1,77.5680827922834,12.968746173197099,1
Binny Mill Tank Area,Binny Mill Tank Area,flood_prone_locations,1,77.5717029034626,12.9742403689976,1
Kamakshipalya Tank Slum Area,Kamakshipalya Tank Slum Area,flood_prone_locations,1,77.5270908138867,12.9886834477827,1
Shivananda circle_Railway under pass,Shivananda circle_Railway under pass,flood_prone_locations,1,77.5778290177912,12.9877884559723,1
Okalipuram Junction,Okalipuram Junction,flood_prone_locations,1,77.5689299545501,12.982687075048299,1
Mekhri circle,Mekhri circle,flood_prone_locations,1,77.5837934475058,13.016990739630698,1
Railway underbridge near Kino theatre,Railway underbridge near Kino theatre,flood_prone_locations,1,77.5748676833932,12.9845070969248,1
Jagajeevan ram nagar,Jagajeevan ram nagar,flood_prone_locations,1,77.5506791839937,12.965588058142199,1
Padarayan pura,Padarayan pura,flood_prone_locations,1,77.5496064708584,12.964562621467598,1
Cotton pete,Cotton pete,flood_prone_locations,1,77.5654467948301,12.966685088945498,1
City Market Area,City Market Area,flood_prone_locations,1,77.5841381432569,12.965264679021502,1
Jayanagar 3rd Block LIC Colony,Jayanagar 3rd Block LIC Colony,flood_prone_locations,1,77.58953084067191,12.9297680655436,1
Krishnappa Garden behind Byrasandra Tank D/s,Krishnappa Garden behind Byrasandra Tank D/s,flood_prone_locations,1,77.5984756164525,12.929943222001901,1
Arekempannahalli Area,Arekempannahalli Area,flood_prone_locations,1,77.5931066062809,12.946265430604898,1
Marehahalli Tank,Marehahalli Tank,flood_prone_locations,1,77.5884362542258,12.9153014272189,1
Bismillanagar – Agencies,Bismillanagar – Agencies,flood_prone_locations,1,77.6021990381511,12.925853394918098,1
Ejipura,Ejipura,flood_prone_locations,1,77.6308201304403,12.938392303161999,1
Koramangala Slum,Koramangala Slum,flood_prone_locations,1,77.62797420604042,12.9248172689016,1
Cholurpalya,Cholurpalya,flood_prone_locations,1,77.549050659257,12.9720098012112,1
Bapujinagar,Bapujinagar,flood_prone_locations,1,77.5397292977655,12.956770659638101,1
Sanjaya Gandhi Slum Area,Sanjaya Gandhi Slum Area,flood_prone_locations,1,77.5924590296566,12.927233344343101,1
NGV to HSR Layout,NGV to HSR Layout,flood_prone_locations,1,77.6201472893617,12.948554000166698,1
Shanthi Nagar,Shanthi Nagar,flood_prone_locations,1,77.5932394856098,12.954258817190398,1
Vidyapeeta circle,Vidyapeeta circle,flood_prone_locations,1,77.560866420845,12.933395967549698,1
Srinvas nagar,Srinvas nagar,flood_prone_locations,1,77.5547781949542,12.935582225738898,1
KH Road,KH Road,flood_prone_locations,1,77.5920319676972,12.9554637045861,1
Magadi Police station,Magadi Police station,flood_prone_locations,1,77.5515100928131,12.974490836482802,1
RPC layout,RPC layout,flood_prone_locations,1,77.5378980802288,12.9627817776568,1
Shankarappa Garden Gopalapura,Shankarappa Garden Gopalapura,flood_prone_locations,1,77.5230110502165,12.921671308184202,1
Kamakshipalya Tank Slum Area,Kamakshipalya Tank Slum Area,flood_prone_locations,1,77.5220423616625,12.992806345636197,1
Yeshwanthpur Railway station,Yeshwanthpur Railway station,flood_prone_locations,1,77.5503772276235,13.023776751295898,1
BEML Layout in RR Nagar,BEML Layout in RR Nagar,flood_prone_locations,1,77.51966060165222,12.9077359056874,1
Nayandahalli,Nayandahalli,flood_prone_locations,1,77.5247623890697,12.9410926623963,1
Kengeri Yellamma temple,Kengeri Yellamma temple,flood_prone_locations,1,77.4827357145787,12.898911781153599,1
HAL Airport Road,HAL Airport Road,flood_prone_locations,1,77.6822640125691,12.9545043770751,1
Sulthan Palya Main Road,Sulthan Palya Main Road,flood_prone_locations,1,77.6047832157688,13.029909094329001,1
Pillappa Garden – Agencies,Pillappa Garden – Agencies,flood_prone_locations,1,77.59117783388612,13.025907310873501,1
Anandanagara,Anandanagara,flood_prone_locations,1,77.5913121170567,13.031328290168299,1
"Miller Tank,","Miller Tank,",flood_prone_locations,1,77.59806414424091,12.991993796476303,1
Saraswathipuram – Jogu Palya,Saraswathipuram – Jogu Palya,flood_prone_locations,1,77.6328895046426,12.972383224006398,1
K R Garden,K R Garden,flood_prone_locations,1,77.6561560190804,12.9540152394115,1
Rudrappa Garden,Rudrappa Garden,flood_prone_locations,1,77.6179956694604,12.959963743032098,1
TV tower-Jaymahal extension,TV tower-Jaymahal extension,flood_prone_locations,1,77.5919039680898,13.0080769194141,1
hotel Chalukya Junction,hotel Chalukya Junction,flood_prone_locations,1,77.5881613485635,12.9844988501416,1
Dommlur,Dommlur,flood_prone_locations,1,77.638739052261,12.960933236479397,1
Ulsoor,Ulsoor,flood_prone_locations,1,77.6239676660707,12.9819583642869,1
DJ Halli,DJ Halli,flood_prone_locations,1,77.61028815037372,13.009267539065497,1
KR circle Underpass,KR circle Underpass,flood_prone_locations,1,77.5873230437196,12.9754291432402,1
"Ashok Nagar
,museum road","Ashok Nagar
,museum road",flood_prone_locations,1,77.6047966021774,12.970775636386298,1
UB city  road,UB city  road,flood_prone_locations,1,77.596618073961,12.971328789591801,1
New Thippasandra,New Thippasandra,flood_prone_locations,1,77.6541428920762,12.9720323148392,1
Cox town,Cox town,flood_prone_locations,1,77.6234084406428,12.9954416110413,1
Thippasandra,Thippasandra,flood_prone_locations,1,77.6468109190841,12.9737073498141,1
Indiranagar 80ft road,Indiranagar 80ft road,flood_prone_locations,1,77.6477438290099,12.9688733328378,1
Pulakeshinagara,Pulakeshinagara,flood_prone_locations,1,77.6099036344411,12.996840553248703,1
Banaswadi,Banaswadi,flood_prone_locations,1,77.6471286288786,13.0119037874296,1
